X,Y,CONDITION,INTERSECTION_ID,NOTES,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID
-8571612.73528742,4696219.12668363,Good,,no,1,2030,2016,ADA_BusStopPt_2727,cbarreto,2016/10/07 17:48:22+00,ADA,2024/06/27 20:40:41+00,,{CF79655A-0B0D-491C-95E2-3C29CDB2056B},2727
-8572583.58552805,4713922.88151756,Non-Compliant,,No,1,2030,2016,ADA_BusStopPt_2728,mquach,2016/10/07 18:25:03+00,ADA,2024/06/27 20:40:41+00,,{44AC73EF-675C-4CF3-B840-82907C326077},2728
-8572010.86171869,4713687.67829888,Non-Compliant,,No,1,2030,2016,ADA_BusStopPt_2729,mquach,2016/10/07 18:51:52+00,ADA,2024/06/27 20:40:41+00,,{2DB0ABD7-9CF3-43BD-9A7C-BEB4454ACC4E},2729
-8569822.30563459,4698006.58919101,Good,,no,1,2030,2016,ADA_BusStopPt_2730,cbarreto,2016/10/07 18:53:26+00,ADA,2024/06/27 20:40:41+00,,{61022414-64C5-4B70-8A0C-87089CABC7CD},2730
-8569659.21658785,4698165.09413723,Non-Compliant,,NO,1,2030,2016,ADA_BusStopPt_2731,cbarreto,2016/10/07 19:04:12+00,ADA,2024/06/27 20:40:41+00,,{01F9B9A4-7CDA-4DE5-82B6-70A7B7C08E00},2731
-8571819.16016454,4713179.48862829,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2732,mquach,2016/10/07 19:08:33+00,ADA,2024/06/27 20:40:41+00,,{77352C6A-08B4-4112-9716-A0C146B18ECD},2732
-8571536.87170968,4713174.06201653,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2733,mquach,2016/10/07 19:11:46+00,ADA,2024/06/27 20:40:41+00,,{E6B98303-293A-4545-9A0D-CACC2835FEAB},2733
-8574422.00266946,4713316.66151887,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2734,mquach,2016/10/07 19:18:36+00,ADA,2024/06/27 20:40:41+00,,{DAEDE0D6-29EF-4B81-A05E-EFB1FF365B0F},2734
-8571946.1633391,4697479.2884144,Fair,,yes,1,2030,2016,ADA_BusStopPt_2735,cbarreto,2016/10/07 19:20:32+00,ADA,2024/06/27 20:40:41+00,,{1B51A2DE-1B5E-43FA-8DB2-C20D0770A815},2735
-8573061.99775722,4713420.96222398,Non-Compliant,,No,1,2030,2016,ADA_BusStopPt_2736,mquach,2016/10/07 21:56:25+00,ADA,2024/06/27 20:40:41+00,,{2D144F29-8F81-43B2-B9E4-03B01C765682},2736
-8575667.97236812,4713061.49860156,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2737,mquach,2016/10/07 21:58:10+00,ADA,2024/06/27 20:40:41+00,,{BF0CD820-C7DE-4385-8FAD-8A0CA53BDFDE},2737
-8574360.97230923,4713013.76165048,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2738,mquach,2016/10/07 22:34:11+00,ADA,2024/06/27 20:40:41+00,,{AFB6EDB1-4C48-4DC2-89F2-58CBD14076BE},2738
-8574267.47341783,4712334.53128161,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2739,mquach,2016/10/07 23:32:14+00,ADA,2024/06/27 20:40:41+00,,{DE283F88-D3A2-4D9A-A632-89DEBA226986},2739
-8575647.7981237,4712688.40030359,Fair,,Yes,2,2030,2016,ADA_BusStopPt_2740,mquach,2016/10/07 22:20:38+00,ADA,2024/06/27 20:40:41+00,,{04E9D7CC-45F2-4A3D-BFA6-AD7B2C33D3EB},2740
-8575255.22393586,4713059.23817232,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2741,mquach,2016/10/07 22:28:46+00,ADA,2024/06/27 20:40:41+00,,{43FE7BC6-FA7B-42F3-BC58-A1A4A331D486},2741
-8575229.15398704,4712870.68594255,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2742,mquach,2016/10/07 22:32:21+00,ADA,2024/06/27 20:40:41+00,,{BB9E338D-ADA4-485F-8D17-91864B582C91},2742
-8574414.08052891,4712405.40288646,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2743,mquach,2016/10/07 23:26:42+00,ADA,2024/06/27 20:40:41+00,,{1B1DC18B-F655-4BDD-9087-3A1FFD2EF753},2743
-8574495.18706435,4712202.40341425,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2744,mquach,2016/10/07 23:46:02+00,ADA,2024/06/27 20:40:41+00,,{15B9C9F8-E2A8-4745-85AF-002AE20D560C},2744
-8576536.09795972,4712039.00119066,Non-Compliant,,No,1,2030,2016,ADA_BusStopPt_2745,mquach,2016/10/07 23:57:23+00,ADA,2024/06/27 20:40:41+00,,{0C051CA7-AF96-42D2-899F-679A17C7C194},2745
-8564379.345875,4709005.69375445,Non-Compliant,,Yes,1,2030,2016,ADA_BusStopPt_2746,mquach,2016/10/09 03:40:44+00,ADA,2024/06/27 20:40:41+00,,{73F2E6A1-B28B-4E08-8569-DB3EE475869B},2746
-8564577.72557839,4708716.91838114,Non-Compliant,,No,1,2030,2016,ADA_BusStopPt_2747,mquach,2016/10/09 03:48:29+00,ADA,2024/06/27 20:40:41+00,,{16B473E2-0604-442E-AB74-2210ECA656B8},2747
-8564305.82128037,4708539.70309501,Non-Compliant,,No,1,2030,2016,ADA_BusStopPt_2748,mquach,2016/10/09 04:05:57+00,ADA,2024/06/27 20:40:41+00,,{0ECBE02A-1E3B-4DA7-B63E-4637C5FA1753},2748
-8564355.71035237,4708508.77565089,Good,,No,1,2030,2016,ADA_BusStopPt_2749,mquach,2016/10/09 04:56:19+00,ADA,2024/06/27 20:40:41+00,,{DA4F3B47-F263-4799-8F67-A6EE3D7CE6B7},2749
-8564373.43722115,4708491.19248946,Good,,No,1,2030,2016,ADA_BusStopPt_2750,mquach,2016/10/09 04:56:51+00,ADA,2024/06/27 20:40:41+00,,{9B7B3820-DC73-49CE-8FDE-D9FF7D0E10E0},2750
-8564391.33995067,4708472.93881744,Good,,No,1,2030,2016,ADA_BusStopPt_2751,mquach,2016/10/09 04:58:26+00,ADA,2024/06/27 20:40:41+00,,{21B184B4-A520-4ED3-9A48-5EB30DE1485E},2751
-8564409.82311003,4708455.06507747,Good,,No,1,2030,2016,ADA_BusStopPt_2752,mquach,2016/10/09 04:58:58+00,ADA,2024/06/27 20:40:41+00,,{7FFC5E7C-2A9C-4FD3-82E2-E16F144979B4},2752
-8563803.92840513,4707871.69763798,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2753,mquach,2016/10/12 05:57:00+00,ADA,2024/06/27 20:40:41+00,,{4C16B14A-D5CC-4A24-AF84-10FE9FDB6042},2753
-8565423.96094783,4707809.38057254,Fair,,Yes,1,2030,2016,ADA_BusStopPt_2754,mquach,2016/10/12 06:11:12+00,ADA,2024/06/27 20:40:41+00,,{7C58A534-05D4-4457-B17E-9EEBE6EF97FF},2754
-8565732.29439031,4707924.56032063,Fair,,No,1,2030,2016,ADA_BusStopPt_2755,mquach,2016/10/12 06:28:52+00,ADA,2024/06/27 20:40:41+00,,{4BE8918E-5A15-4FC3-9BFA-4D1F21980D6E},2755
