X,Y,PUSHBUTTON_TYPE,INTERSECTION_ID,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID
-8569259.97011406,4708381.76279092,None,,1,2030,2016,ADA_APSPt_6446,,,ADA,2024/06/27 20:42:58+00,,{ACBD9232-5A72-4615-B8FF-0914DC861856},6446
-8575638.63319091,4717327.40835155,Type B: 3-inch button (non-compliant),,1,2030,2016,ADA_APSPt_6447,,,ADA,2024/06/27 20:42:58+00,,{B47E18C9-7C8E-4587-A10B-EDB9372E85CA},6447
-8583151.68716686,4711271.77137805,None,,1,2030,2016,ADA_APSPt_6448,mkeke,2016/09/03 05:44:02+00,ADA,2024/06/27 20:42:58+00,,{1DEAF249-DE97-4479-AA2E-5FCF4B3A9720},6448
-8577091.69485454,4707680.73710071,Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_6449,cbarreto,2017/02/23 18:10:42+00,ADA,2024/06/27 20:42:58+00,,{EC711D5D-5B68-481F-94A6-12550E05AD8E},6449
-8574756.54214473,4715696.02923095,Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_6450,cbarreto,2017/11/28 00:21:58+00,ADA,2024/06/27 20:42:58+00,,{8E1F9EFF-455B-4369-BA01-9F31FCA41DB7},6450
-8574920.69155908,4708591.94409044,None,,1,2030,2016,ADA_APSPt_6451,bblowe,2016/08/12 17:38:43+00,ADA,2024/06/27 20:42:58+00,,{F387D26E-B6F6-4E7D-B6FE-F51D5D7A090E},6451
-8574625.25107835,4709389.1562196,None,,1,2030,2016,ADA_APSPt_6452,,,ADA,2024/06/27 20:42:58+00,,{3DF20CCA-49D1-4452-B4E5-66378D41CFA1},6452
-8570793.0223223,4707726.40515361,None,,1,2030,2016,ADA_APSPt_6453,bblowe,2016/08/19 06:35:53+00,ADA,2024/06/27 20:42:58+00,,{4BC6A4A3-1613-4D79-A1D2-EE91E2285EAB},6453
-8571478.78039959,4704418.4132111,None,,1,2030,2016,ADA_APSPt_6454,,,ADA,2024/06/27 20:42:58+00,,{8F954EA8-B953-4824-BB9B-B48F946D7E42},6454
-8562562.59816854,4705313.69102439,None,,1,2030,2016,ADA_APSPt_6455,mkeke,2016/08/09 18:11:23+00,ADA,2024/06/27 20:42:58+00,,{E3258E1A-30ED-4D5B-AB42-EDEEBC0DB351},6455
-8570316.21387752,4706446.44638923,None,,1,2030,2016,ADA_APSPt_6456,hseyedinejad,2016/08/18 22:09:32+00,ADA,2024/06/27 20:42:58+00,,{95DBE782-57D4-436B-8B52-D18A85E8B1FC},6456
-8570351.09834007,4712023.30477225,None,,1,2030,2016,ADA_APSPt_6457,kshedrick,2016/08/16 23:22:12+00,ADA,2024/06/27 20:42:58+00,,{31E713D0-082C-46E7-84C1-3CAC8436F812},6457
-8574510.35463578,4706817.14169392,None,,1,2030,2016,ADA_APSPt_6458,dwilkins,2016/09/15 08:57:02+00,ADA,2024/06/27 20:42:58+00,,{7AA028FE-7EDB-4D0B-A90A-62CF58B1EDC6},6458
